company_name;founded;industry;location;about;stage;amount;Table
Pixxel;2018;Defense and Space Manufacturing;Bangalore;Pixxel is a space technology company working towards creating the world's highest resolution hyperspectral imaging satellite-imaging constellation.;Series A;23250000;2022
Locofast;2019;Textiles;New Delhi;Locofast is the fastest-growing B2B textile marketplace connecting manufacturers and suppliers to brands, export & buying houses.;Series A;13950000;2022
Wiz Freight;2019;Transportation, Logistics and Storage;Chennai;Wiz is a tech-enabled freight forwarding platform for the modern day.;Series A;33480000;2022
Filo;2020;E-learning;Haryana;Filo is the world's fastest growing on-demand tutoring platform that connects students with India’s top 1% tutors in less than 60 seconds.;Series A;21390000;2022
LILA Games;2020;Entertainment;Bangalore;Making an innovative F2P Shooter Game;Series A;9300000;2022
OneCode;2020;Financial Services;Bangalore;A new age reseller platform in the e commerce space funded by the industry leaders.;Series A;12090000;2022
Hiver;2011;Computer Software;Bangalore;World’s first helpdesk built for Google Workspace.;Series B;20460000;2022
ekincare;2014;Health, Wellness & Fitness;Hyderabad;Fastest growing and patented health bene?ts platform;Series B;13950000;2022
FarMart;2015;Farming;Gurgaon;FarMart is building an alternative food value chain that is transparent and financially rewarding for both farmers and businesses;Series B;29760000;2022
Leverage Edu;2017;Higher Education;New Delhi;Leading study abroad platform helping students from India & other emerging markets apply to universities abroad with an “outcome-focused counseling” approach that factors in employability + student success.;Series B;20460000;2022
RupeeRedee;2018;Financial Services;Gurgaon;RupeeRedee a division of Digital Finance International (Finstar Financial Group), is a digital platform that helps customers borrow money for their short-term needs at the click of a button.;Series B;1023000;2022
CredAvenue;2020;Financial Services;Chennai;A debt platform for enterprises, lenders and investors, CredAvenue offers the most comprehensive bouquet of debt products.;Series B;127410000;2022
Birdeye;2012;Computer Software;Gurgaon;Birdeye everyday to attract new leads with Listings, Reviews and Referrals, convert them into customers with Webchat and Appointments, and delight those customers with Surveys, Ticketing, and Insights - all in one place.;Series C;55800000;2022
Plum;2013;Skincare;Mumbai;Pureplay Skin Sciences is a new-age, values-based, science-driven clean beauty & grooming company;Series C;32550000;2022
Pep Technologies Pvt Ltd;2015;D2C;Mumbai;Pep Technologies Pvt Ltd, the parent of Mumbai-based direct-to-consumer (D2C) personal care brand mCaffeine;Series C;27900000;2022
Vivriti Capital;2017;Financial Services;Chennai;Vivriti Capital is India’s first tech enabled marketplace that brings together capital markets investors with institutions, small enterprises and individuals.;Series C;51150000;2022
Pocket FM;2018;Audio OTT;Bangalore;Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.;Series C;60450000;2022
